4 
time [ms], voltage [V], theta [rad]  
 7.780, -5.000, -0.748  
 7.790, -5.000, -0.748  
 7.800, -5.000, -0.748  
 7.810, -5.000, -0.748  
 7.820, -5.000, -0.598  
 7.830, -5.000, -0.748  
 7.840, -5.000, -0.748  
 7.850, -5.000, -0.748  
 7.860, -5.000, -0.598  
 7.870, -5.000, -0.748  
 7.880, -5.000, -0.748  
 7.890, -5.000, -0.748  
 7.900, -5.000, -0.598  
 7.910, -5.000, -0.748  
 7.930, -5.000, -0.748  
 7.940, -5.000, -0.748  
 7.950, -5.000, -0.598  
 7.960, -5.000, -0.748  
 7.970, -5.000, -0.748  
 7.980, -5.000, -0.748  
 7.990, -5.000, -0.598  
 8.000,  0.000, -0.748  
 8.010,  0.000, -0.598  
 8.020,  0.000, -0.299  
 8.030,  0.000, -0.150  
 8.040,  0.000,  0.000  
 8.050,  0.000,  0.000  
 8.060,  0.000,  0.000  
 8.070,  0.000,  0.000  
 8.080,  0.000,  0.000  
 8.090,  0.000,  0.000  
 8.110,  0.000,  0.000  
 8.120,  0.000,  0.000  
 8.130,  0.000,  0.000  
 8.140,  0.000,  0.000  
 8.150,  0.000,  0.000  
 8.160,  0.000,  0.000  
 8.170,  0.000,  0.000  
 8.180,  0.000,  0.000  
 8.190,  0.000,  0.000  
 8.200,  0.000,  0.000  
 8.210,  0.000,  0.000  
 8.220,  0.000,  0.000  
 8.230,  0.000,  0.000  
 8.240,  0.000,  0.000  
 8.250,  0.000,  0.000  
 8.260,  0.000,  0.000  
 8.270,  0.000,  0.000  
 8.280,  0.000,  0.000  
 8.300,  0.000,  0.000  
 8.310,  0.000,  0.000  
 8.320,  0.000,  0.000  
 8.330,  0.000,  0.000  
 8.340,  0.000,  0.000  
 8.350,  0.000,  0.000  
 8.360,  0.000,  0.000  
 8.370,  0.000,  0.000  
 8.380,  0.000,  0.000  
 8.390,  0.000,  0.000  
 8.400,  0.000,  0.000  
 8.410,  0.000,  0.000  
 8.420,  0.000,  0.000  
 8.430,  0.000,  0.000  
 8.440,  0.000,  0.000  
 8.450,  0.000,  0.000  
 8.460,  0.000,  0.000  
 8.470,  0.000,  0.000  
 8.480,  0.000,  0.000  
 8.500,  0.000,  0.000  
 8.510,  0.000,  0.000  
 8.520,  0.000,  0.000  
 8.530,  0.000,  0.000  
 8.540,  0.000,  0.000  
 8.550,  0.000,  0.000  
 8.560,  0.000,  0.000  
 8.570,  0.000,  0.000  
 8.580,  0.000,  0.000  
 8.590,  0.000,  0.000  
 8.600,  0.000,  0.000  
 8.610,  0.000,  0.000  
 8.620,  0.000,  0.000  
 8.630,  0.000,  0.000  
 8.640,  0.000,  0.000  
 8.650,  0.000,  0.000  
 8.660,  0.000,  0.000  
 8.670,  0.000,  0.000  
 8.680,  0.000,  0.000  
 8.700,  0.000,  0.000  
 8.710,  0.000,  0.000  
 8.720,  0.000,  0.000  
 8.730,  0.000,  0.000  
 8.740,  0.000,  0.000  
 8.750,  0.000,  0.000  
 8.760,  0.000,  0.000  
 8.770,  0.000,  0.000  
 8.780,  0.000,  0.000  
 8.790,  0.000,  0.000  
 8.800,  0.000,  0.000  
 8.810,  0.000,  0.000  
 8.820,  0.000,  0.000  
 8.830,  0.000,  0.000  
 8.840,  0.000,  0.000  
 8.850,  0.000,  0.000  
 8.860,  0.000,  0.000  
 8.870,  0.000,  0.000  
 8.890,  0.000,  0.000  
 8.900,  0.000,  0.000  
 8.910,  0.000,  0.000  
 8.920,  0.000,  0.000  
 8.930,  0.000,  0.000  
 8.940,  0.000,  0.000  
 8.950,  0.000,  0.000  
 8.960,  0.000,  0.000  
 8.970,  0.000,  0.000  
 8.980,  0.000,  0.000  
 8.990,  0.000,  0.000  
 9.000,  5.000,  0.000  
 9.010,  5.000,  0.150  
 9.020,  5.000,  0.299  
 9.030,  5.000,  0.449  
 9.040,  5.000,  0.748  
 9.050,  5.000,  0.598  
 9.060,  5.000,  0.598  
 9.080,  5.000,  0.748  
 9.090,  5.000,  0.748  
 9.100,  5.000,  0.598  
 9.110,  5.000,  0.748  
 9.120,  5.000,  0.748  
 9.130,  5.000,  0.748  
 9.140,  5.000,  0.748  
 9.150,  5.000,  0.748  
 9.160,  5.000,  0.598  
